120071.ETR,GB0031215220
120470.ETR,IT0003497168
120471.ETR,IT0003497176
121806.ETR,DE0001218063
126215.ETR,DE0001262152
157484.ETR,US20030N1019
164456.ETR,DE0001644565
200417.ETR,US02209S1033
252092.ETR,US2283681060
260555.ETR,DE0002605557
2AAP.NL,IE00BF03XJ35
2AMD.NL,IE00BKT6ZG93
2AMZ.NL,IE00BF03XH11
2BAB.NL,IE00BK5C1C97
2CIT.NL,IE00BF03XL56
2CRM.NL,IE00BD09ZY63
2CRSI.FR,FR0013341781
2FB.NL,IE00BF03XP94
2GOO.NL,IE00BF01VY89
2GS.NL,IE00BF03XR19
2ICEU.FR,NSCNL0ICEU26
2JPM.NL,IE00BF03XW61
2MSF.NL,IE00BF03XY85
2MU.NL,IE00BKT66K01
2MX.FR,FR0014000T90
2MXBS.FR,FR0014000TB2
2NFL.NL,IE00BD09ZW40
2NVD.NL,IE00BD09ZX56
2STS.NL,XS2297550134
2TSL.NL,IE00BK5BZY66
2TWT.NL,IE00BKT66J95
2UBR.NL,IE00BKT66L18
2VIS.NL,IE00BD09ZV33
357818.ETR,CA98462Y1007
3AAP.NL,IE00BK5BZS07
3AMZ.NL,IE00BK5BZQ82
3BA.NL,XS2297551371
3BAC.NL,XS2297618626
3BP.NL,XS2297636107
3CRM.NL,IE00BK5BZT14
3FB.NL,IE00BK5C1B80
3GOO.NL,IE00BK5BZX59
3HSB.NL,XS2297618030
3MSF.NL,IE00BK5BZV36
3NFL.NL,IE00BK5BZW43
3NVD.NL,IE00BK5BZR99
3OB1.FR,NSCFR0I30B18
3OHG.FR,NSCFR0I30HG8
3OHM.FR,NSCFR0I30HM6
3PYP.NL,XS2297550217
3RDS.NL,XS2297634318
3SHP.NL,XS2297550563
3SQ.NL,XS2297552262
3TSL.NL,XS2297549128
3VOD.NL,XS2297637253
3ZM.NL,XS2297551611
500800.ETR,DE0005008007
501451.ETR,FR0000124141
502391.ETR,US3453708600
502665.ETR,US4851703029
508810.ETR,DE0005088108
508903.ETR,DE0005089031
509310.ETR,DE0005093108
510200.ETR,DE0005102008
510300.ETR,DE0005103006
510440.ETR,DE0005104400
510480.ETR,DE0005104806
511000.ETR,DE0005110001
511170.ETR,DE0005111702
511880.ETR,DE0005118806
513700.ETR,DE0005137004
514000.ETR,DE0005140008
514680.ETR,DE0005146807
515600.ETR,DE0005156004
515623.ETR,DE0005156236
515710.ETR,DE0005157101
515870.ETR,DE0005158703
516790.ETR,DE0005167902
516810.ETR,DE0005168108
517690.ETR,DE0005176903
517800.ETR,DE0005178008
518160.ETR,DE0005181606
519000.ETR,DE0005190003
519003.ETR,DE0005190037
519400.ETR,DE0005194005
519406.ETR,DE0005194062
519990.ETR,DE0005199905
520000.ETR,DE0005200000
520160.ETR,DE0005201602
520230.ETR,DE0005202303
520394.ETR,DE0005203947
520958.ETR,DE0005209589
521830.ETR,DE0005218309
522000.ETR,DE0005220008
522090.ETR,DE0005220909
522720.ETR,DE0005227201
522723.ETR,DE0005227235
522877.ETR,DE0005228779
522950.ETR,DE0005229504
523280.ETR,DE0005232805
529498.ETR,US9129091081
531350.ETR,DE0005313506
531370.ETR,DE0005313704
540390.ETR,DE0005403901
540710.ETR,DE0005407100
540740.ETR,DE0005407407
540811.ETR,DE0005408116
540868.ETR,DE0005408686
540888.ETR,DE0005408884
541561.ETR,US92343X1000
541867.ETR,US4771431016
541910.ETR,DE0005419105
543900.ETR,DE0005439004
547030.ETR,DE0005470306
547040.ETR,DE0005470405
547930.ETR,DE0005479307
548956.ETR,DE0005489561
549227.ETR,DE0005492276
549293.ETR,DE0005492938
549309.ETR,DE0005493092
549336.ETR,DE0005493365
549416.ETR,DE0005494165
549532.ETR,DE0005495329
549562.ETR,DE0005495626
549890.ETR,DE0005498901
552484.ETR,US64110L1061
553340.ETR,DE0005533400
553860.ETR,DE0005538607
554550.ETR,DE0005545503
555060.ETR,DE0005550602
555063.ETR,DE0005550636
555200.ETR,DE0005552004
555750.ETR,DE0005557508
555869.ETR,DE0005558696
556520.ETR,DE0005565204
557080.ETR,DE0005570808
558000.ETR,DE0005580005
564950.ETR,DE0005649503
565493.ETR,DE0005654933
565970.ETR,DE0005659700
566480.ETR,DE0005664809
567710.ETR,DE0005677108
575198.ETR,DE0005751986
575302.ETR,US20825C1045
575440.ETR,DE0005754402
575980.ETR,DE0005759807
576002.ETR,DE0005760029
576550.ETR,DE0005765507
577220.ETR,DE0005772206
577330.ETR,DE0005773303
577410.ETR,DE0005774103
577580.ETR,DE0005775803
578560.ETR,DE0005785604
578580.ETR,DE0005785802
580060.ETR,DE0005800601
581005.ETR,DE0005810055
585434.ETR,DE0005854343
585518.ETR,DE0005855183
585969.ETR,DE0005859698
587484.ETR,DE0005874846
587800.ETR,DE0005878003
588811.ETR,AT0000720008
589540.ETR,DE0005895403
590375.ETR,US0162551016
590900.ETR,DE0005909006
591068.ETR,FR0000127771
593273.ETR,DE0005932735
593612.ETR,DE0005936124
603111.ETR,US37940X1028
604270.ETR,DE0006042708
604400.ETR,DE0006044001
604611.ETR,DE0006046113
604700.ETR,DE0006047004
604840.ETR,DE0006048408
604843.ETR,DE0006048432
606110.ETR,DE0006061104
606214.ETR,DE0006062144
607000.ETR,DE0006070006
608340.ETR,DE0006083405
608440.ETR,DE0006084403
609500.ETR,DE0006095003
620010.ETR,DE0006200108
620110.ETR,DE0006201106
620200.ETR,DE0006202005
620440.ETR,DE0006204407
